[#I]Device Description,,,
11/08/2020,15:36:42,50.5,22.2
12/08/2020,03:36:42,50.9,22.3
12/08/2020,15:36:42,49,22.3
13/08/2020,03:36:42,49.7,22.6
13/08/2020,15:36:42,49,22.5
14/08/2020,03:36:42,50.2,22.6
14/08/2020,15:36:43,51.2,22.7
15/08/2020,03:36:42,51,22.7
15/08/2020,15:36:42,53.2,22.8
16/08/2020,03:36:42,55.4,22.8
16/08/2020,15:36:42,57.5,22.9
17/08/2020,03:36:42,59.3,22.9
17/08/2020,15:36:42,60.6,22.9
18/08/2020,03:36:42,61.8,23
18/08/2020,15:36:42,62.9,23
19/08/2020,03:36:42,63.5,23
19/08/2020,15:36:42,64,23
20/08/2020,03:36:42,64.6,23
20/08/2020,15:36:42,65.2,23
21/08/2020,03:36:42,65.6,23
21/08/2020,15:36:42,65.7,23.1
22/08/2020,03:36:42,65.9,23.2
22/08/2020,15:36:42,65.9,23.2
23/08/2020,03:36:42,66.1,23.2
23/08/2020,15:36:42,66.3,23.2
24/08/2020,03:36:42,66.4,23.2
24/08/2020,15:36:42,66.6,23.2
25/08/2020,03:36:42,67,23.1
25/08/2020,15:36:42,67.2,23
26/08/2020,03:36:42,67.4,23
26/08/2020,15:36:42,67.6,23
27/08/2020,03:36:42,67.8,22.9
27/08/2020,15:36:42,67.6,23
28/08/2020,03:36:42,67.8,22.9
28/08/2020,15:36:42,48.5,22.6
29/08/2020,03:36:42,49.5,22.6
29/08/2020,15:36:42,48.4,22.3
30/08/2020,03:36:42,49.2,22.3
30/08/2020,15:36:42,47.6,22.1
31/08/2020,03:36:42,48.7,22.1
31/08/2020,15:36:42,47.6,21.9
01/09/2020,03:36:42,48.4,21.9
01/09/2020,15:36:42,47.2,21.6
02/09/2020,03:36:42,48.1,21.6
02/09/2020,15:36:42,47.9,21.5
03/09/2020,03:36:42,48.6,21.5
03/09/2020,15:36:42,48.6,21.3
04/09/2020,03:36:42,48.8,21.3
04/09/2020,15:36:42,46,21.2
05/09/2020,03:36:42,47.7,21.2
05/09/2020,15:36:42,47.7,21
06/09/2020,03:36:42,48.3,21
06/09/2020,15:36:42,47.9,20.9
07/09/2020,03:36:42,48.5,20.9
07/09/2020,15:36:42,48.1,20.8
08/09/2020,03:36:42,48.5,20.8
08/09/2020,15:36:42,49.4,20.8
09/09/2020,03:36:42,49.3,20.8
09/09/2020,15:36:42,49,20.9
10/09/2020,03:36:42,49.1,20.8
10/09/2020,15:36:42,47.9,20.7
11/09/2020,03:36:42,48.4,20.7
11/09/2020,15:36:42,46.7,20.6
12/09/2020,03:36:43,47.9,20.7
12/09/2020,15:36:42,46.4,20.6
13/09/2020,03:36:42,47.7,20.6
13/09/2020,15:36:42,47.9,20.6
14/09/2020,03:36:42,48.3,20.6
14/09/2020,15:36:42,48,20.5
15/09/2020,03:36:42,48.5,20.5
15/09/2020,15:36:42,48.5,20.5
16/09/2020,03:36:42,49.3,20.6
16/09/2020,15:36:42,48.7,20.6
17/09/2020,03:36:42,49.2,20.6
17/09/2020,15:36:42,48.5,20.6
18/09/2020,03:36:42,48.8,20.7
18/09/2020,15:36:42,48.3,20.6
19/09/2020,03:36:42,48.8,20.7
19/09/2020,15:36:42,48.3,20.6
20/09/2020,03:36:42,48.5,20.7
20/09/2020,15:36:42,48.1,20.6
21/09/2020,03:36:42,48.6,20.7
21/09/2020,15:36:42,48.2,20.6
22/09/2020,03:36:42,48.5,20.7
22/09/2020,15:36:42,48.1,20.7
23/09/2020,03:36:42,48.6,20.7
23/09/2020,15:36:42,47.9,20.7
24/09/2020,03:36:42,48.5,20.7
24/09/2020,15:36:42,48.1,20.7
25/09/2020,03:36:42,48.5,20.7
25/09/2020,15:36:42,48.2,20.6
26/09/2020,03:36:42,47.7,20.6
26/09/2020,15:36:42,47.3,20.6
27/09/2020,03:36:42,46.6,20.5
27/09/2020,15:36:42,50.3,20.3
28/09/2020,03:36:42,49.6,20.3
28/09/2020,15:36:42,48.6,20.2
29/09/2020,03:36:42,48.6,20.2
29/09/2020,15:36:42,46.4,20.1
30/09/2020,03:36:42,47.4,20.1
30/09/2020,15:36:42,47.5,20
01/10/2020,03:36:42,48,20
01/10/2020,15:36:42,48.3,19.9
02/10/2020,03:36:42,48.2,19.9
02/10/2020,15:36:42,48.1,19.8
03/10/2020,03:36:42,48.2,19.8
03/10/2020,15:36:42,48,19.7
04/10/2020,03:36:43,48.4,19.7
04/10/2020,15:36:42,48,19.6
05/10/2020,03:36:42,48.4,19.6
05/10/2020,15:36:42,48.5,19.5
06/10/2020,03:36:42,48.6,19.4
06/10/2020,15:36:42,48.3,19.4
07/10/2020,03:36:42,48.7,19.3
07/10/2020,15:36:42,48.1,19.2
08/10/2020,03:36:42,48.8,19.2
08/10/2020,15:36:42,48.7,19.2
09/10/2020,03:36:42,48.7,19.1
09/10/2020,15:36:42,48.2,19.1
10/10/2020,03:36:42,48.7,19.1
10/10/2020,15:36:43,48.1,18.9
11/10/2020,03:36:42,48.4,18.9
11/10/2020,15:36:42,47.9,18.7
12/10/2020,03:36:42,48.3,18.7
12/10/2020,15:36:42,47.9,18.8
13/10/2020,03:36:42,48.7,18.6
13/10/2020,15:36:42,48.8,18.5
14/10/2020,03:36:42,49.5,18.4
14/10/2020,15:36:42,49,18.3
15/10/2020,03:36:42,49.2,18.3
15/10/2020,15:36:42,48.6,18.3
16/10/2020,03:36:42,48.9,18.3
16/10/2020,15:36:42,48.3,18.2
17/10/2020,03:36:42,48.6,18.3
17/10/2020,15:36:42,49.9,18.3
18/10/2020,03:36:42,51.2,18.3
18/10/2020,15:36:42,52.1,18.4
19/10/2020,03:36:42,53.2,18.3
19/10/2020,15:36:42,53.9,18.3
20/10/2020,03:36:42,54.5,18.3
20/10/2020,15:36:42,52.8,18.3
21/10/2020,03:36:42,51.4,18.2
21/10/2020,15:36:42,51.1,18.2
22/10/2020,03:36:42,50.1,18.1
22/10/2020,15:36:42,49.2,18
23/10/2020,03:36:42,49.1,18
23/10/2020,15:36:42,48.2,18
24/10/2020,03:36:42,48.6,17.9
24/10/2020,15:36:42,48.8,17.9
25/10/2020,03:36:42,49.1,17.9
25/10/2020,15:36:42,49.6,17.9
26/10/2020,03:36:42,49.8,17.9
26/10/2020,15:36:42,49.9,17.9
27/10/2020,03:36:42,49.6,17.8
27/10/2020,15:36:42,49.2,17.8
28/10/2020,03:36:42,49.3,17.8
28/10/2020,15:36:42,48.6,17.7
29/10/2020,03:36:42,47.4,17.7
29/10/2020,15:36:42,48.6,17.6
30/10/2020,03:36:42,49.8,17.6
30/10/2020,15:36:42,51,17.6
31/10/2020,03:36:42,51,17.6
31/10/2020,15:36:42,51.9,17.6
01/11/2020,03:36:42,51.5,17.6
01/11/2020,15:36:43,52.4,17.6
02/11/2020,03:36:42,51,17.5
02/11/2020,15:36:42,52.1,17.7
03/11/2020,03:36:42,51,17.6
03/11/2020,15:36:42,50.1,17.6
04/11/2020,03:36:42,50.3,17.6
04/11/2020,15:36:42,51.2,17.6
05/11/2020,03:36:42,47.5,18.7
05/11/2020,15:36:42,46.6,18.7
06/11/2020,03:36:42,46.1,18.2
06/11/2020,15:36:42,46.7,19.7
07/11/2020,03:36:42,45.6,20.2
07/11/2020,15:36:42,44.7,20.6
08/11/2020,03:36:42,45.1,20.7
08/11/2020,15:36:42,45.7,20.8
09/11/2020,03:36:42,46.1,20.8
09/11/2020,15:36:42,46.4,21.2
10/11/2020,03:36:42,46.4,21
10/11/2020,15:36:42,46.5,21
11/11/2020,03:36:42,46.6,20.9
11/11/2020,15:36:42,46.8,21.1
12/11/2020,03:36:42,46.8,20.9
12/11/2020,15:36:42,46.7,21
13/11/2020,03:36:42,46.5,20.9
13/11/2020,15:36:42,46.6,20.9
14/11/2020,03:36:42,46.2,20.8
14/11/2020,15:36:42,46.2,20.9
15/11/2020,03:36:42,46.4,20.9
15/11/2020,15:36:42,46.5,20.9
16/11/2020,03:36:42,45.6,20.8
16/11/2020,15:36:42,45.1,20.8
17/11/2020,03:36:42,45.3,20.8
17/11/2020,15:36:42,45.8,20.9
18/11/2020,03:36:42,46.1,20.9
18/11/2020,15:36:42,46.3,21
19/11/2020,03:36:42,45.8,20.9
19/11/2020,15:36:42,44.8,21
20/11/2020,03:36:42,43.7,20.8
20/11/2020,15:36:42,42.3,20.8
21/11/2020,03:36:42,43,20.8
21/11/2020,15:36:42,43.5,20.9
22/11/2020,03:36:42,44.2,20.9
22/11/2020,15:36:42,44.6,20.9
23/11/2020,03:36:42,44,20.8
23/11/2020,15:36:42,43.3,20.8
24/11/2020,03:36:42,43.3,20.8
24/11/2020,15:36:42,43.8,20.9
25/11/2020,03:36:42,44.2,20.8
25/11/2020,15:36:42,44.8,20.9
26/11/2020,03:36:42,44.7,20.8
26/11/2020,15:36:42,44,20.8
27/11/2020,03:36:42,41.6,26.1
27/11/2020,15:36:42,38.5,21.1
28/11/2020,03:36:42,36.9,25.4
28/11/2020,15:36:42,38,23.2
29/11/2020,03:36:42,39.5,25.2
29/11/2020,15:36:42,39,21.8
30/11/2020,03:36:43,38.2,25.6
30/11/2020,15:36:42,36.9,15.2
01/12/2020,03:36:42,39.4,16.3
01/12/2020,15:36:42,38.3,10.8
02/12/2020,03:36:42,39.9,9.8
02/12/2020,15:36:42,52.8,21.1
03/12/2020,03:36:42,49.2,16.8
03/12/2020,15:36:42,51.4,15.1
04/12/2020,03:36:42,48.3,17.4
04/12/2020,15:36:42,46.4,18.7
05/12/2020,03:36:42,44.3,16
05/12/2020,15:36:42,43.5,17.9
06/12/2020,03:36:42,42.1,17.9
06/12/2020,15:36:42,41.6,19.5
07/12/2020,03:36:42,40.5,19.9
07/12/2020,15:36:42,40.2,20.2
08/12/2020,03:36:42,38.3,9.5
08/12/2020,15:36:42,38.3,13
09/12/2020,03:36:42,42.7,15
09/12/2020,15:36:42,44.6,16.6
10/12/2020,03:36:42,45.3,15
10/12/2020,15:36:42,46.2,14.1
11/12/2020,03:36:42,48.5,15.9
11/12/2020,15:36:42,51.9,16.1
12/12/2020,03:36:42,53.4,19.2
12/12/2020,15:36:42,52.6,11
13/12/2020,03:36:42,55,16
13/12/2020,15:36:42,52.4,15.8
14/12/2020,03:36:42,52.2,15.6
14/12/2020,15:36:42,52.8,19
15/12/2020,03:36:42,50.2,18.7
15/12/2020,15:36:42,51.9,23.5
16/12/2020,03:36:42,54.1,19.4
